//Flowers
0x0000, Red Tulips
0x1266, Tropical Shirt
0x1267, Ribbon Shirt
0x1268, Bodice
0x1269, Laced Shirt
0x126A, Circus Shirt
0x126B, Green Vest
0x126C, Yellow Bolero
0x126D, Noble Shirt
0x126E, Turnip Top
0x126F, Yodel Shirt
0x1270, Gaudy Sweater
0x1271, Western Shirt
0x1272, Red Riding Hoody
0x1273, Royal Shirt
0x1274, Witch Shirt
0x1275, Firefighter Tee
0x1276, Graduation Gown
0x1277, Sky Shirt
0x1278, Captain's Shirt
0x1279, Burglar's Shirt
0x127A, Jester Shirt
0x127B, Nurse's Uniform
0x127C, Bone Shirt
0x127D, Zipper Shirt
0x127E, Mummy Shirt
0x127F, Military Uniform
0x1280, Sailor's Uniform
0x1281, Reggae Shirt
0x1282, Camel Shirt
0x1283, Molecule Tee
0x1284, Concierge Shirt
0x1285, Kimono
0x1286, Tuxedo
0x1287, Explorer Shirt
0x1288, Dutch Shirt
0x1289, Toga
0x128A, Cake Shirt
0x128B, Waitress Shirt
0x128C, Princess Shirt
0x128D, Fairy Tale Shirt
0x128E, Spanish Shirt
0x128F, Latin Uniform
0x1290, Red Down Vest
0x1291, One-way Tee
0x1292, Beaded Shirt
0x1293, Nile Shirt
0x1294, Wrap Shirt
0x1295, Wrestler Shirt
0x1296, Security Shirt
0x1297, Poncho
0x1298, Fluffy Shirt
0x1299, Chinese Shirt
0x129A, Pep Squad Shirt
0x129B, Racing Shirt
0x129C, Orange Jumpsuit
0x129D, Tin Shirt
0x129E, Scale Armor Suit
0x129F, Armor Suit
0x12A0, Gold Armor Suit
0x12A1, Red Warmup Suit
0x12A2, Baseball Shirt
0x12A3, Leather Jerkin
0x12A4, Frock Coat
0x12A5, Space Suit
0x12A6, Caveman Tunic
0x12A7, Moldy Shirt
0x12A8, Custom Shirt #1
0x12A9, Custom Shirt #2
0x12AA, Custom Shirt #3
0x12AB, Custom Shirt #4
0x12AC, Custom Shirt #5
0x12AD, Custom Shirt #6
0x12AE, Custom Shirt #7
0x12AF, Custom Shirt #8
//Insects
0x12B0, Common Butterfly
0x12B1, Yellow Butterfly
0x12B2, Tiger Butterfly
0x12B3, Peacock
0x12B4, Monarch
0x12B5, Emperor
0x12B6, Agrias Butterfly
0x12B7, Birdwing
0x12B8, Moth
0x12B9, Oak Silk Moth
0x12BA, Honeybee
0x12BB, Bee
0x12BC, Long Locust
0x12BD, Migratory Locust
0x12BE, Mantis
0x12BF, Orchid Mantis
0x12C0, Brown Cicada
0x12C1, Robust Cicada
0x12C2, Walker Cicada
0x12C3, Evening Cicada
0x12C4, Lantern Fly
0x12C5, Red Dragonfly
0x12C6, Darner Dragonfly
0x12C7, Banded Dragonfly
0x12C8, Ant
0x12C9, Pondskater
0x12CA, Snail
0x12CB, Cricket
0x12CC, Bell Cricket
0x12CD, Grasshopper
0x12CE, Mole Cricket
0x12CF, Walkingstick
0x12D0, Ladybug
0x12D1, Fruit Beetle
0x12D2, Scarab Beetle
0x12D3, Dung Beetle
0x12D4, Goliath Beetle
0x12D5, Firefly
0x12D6, Jewel Beetle
0x12D7, Longhorn Beetle
0x12D8, Saw Stag Beetle
0x12D9, Stag Beetle
0x12DA, Giant Beetle
0x12DB, Rainbow Stag
0x12DC, Dynastid Beetle
0x12DD, Atlas Beetle
0x12DE, Elephant Beetle
0x12DF, Hercules Beetle
0x12E0, Flea
0x12E1, Pill Bug
0x12E2, Mosquito
0x12E3, Fly
0x12E4, Cockroach
0x12E5, Spider
0x12E6, Tarantula
0x12E7, Scorpion
//Fish
0x12E8, Bitterling
0x12E9, Pale Chub
0x12EA, Crucian Carp
0x12EB, Dace
0x12EC, Barbel Steed
0x12ED, Carp
0x12EE, Koi
0x12EF, Goldfish
0x12F0, Popeyed Goldfish
0x12F1, Killifish
0x12F2, Crawfish
0x12F3, Frog
0x12F4, Freshwater Goby
0x12F5, Loach
0x12F6, Catfish
0x12F7, Eel
0x12F8, Giant Snakehead
0x12F9, Bluegill
0x12FA, Yellow Perch
0x12FB, Black Bass
0x12FC, Pond Smelt
0x12FD, Sweetfish
0x12FE, Cherry Salmon
0x12FF, Char
0x1300, Rainbow Trout
0x1301, Stringfish
0x1302, Salmon
0x1303, King Salmon
0x1304, Guppy
0x1305, Angelfish
0x1306, Piranha
0x1307, Arowana
0x1308, Dorado
0x1309, Gar
0x130A, Arapaima
0x130B, Sea Butterfly
0x130C, Jellyfish
0x130D, Seahorse
0x130E, Clownfish
0x130F, Zebra Turkeyfish
0x1310, Puffer Fish
0x1311, Horse Mackerel
0x1312, Barred Knifejaw
0x1313, Sea Bass
0x1314, Red Snapper
0x1315, Dab
0x1316, Olive Flounder
0x1317, Squid
0x1318, Octopus
0x1319, Football Fish
0x131A, Tuna
0x131B, Blue Marlin
0x131C, Ocean Sunfish
0x131D, Hammerhead Shark
0x131E, Shark
0x131F, Coelacanth
//Garbage
0x1320, Empty Can
0x1321, Boot
0x1322, Old Tire
//Songs
0x1323, K.K. Chorale
0x1324, K.K. March
0x1325, K.K. Waltz
0x1326, K.K. Swing
0x1327, K.K. Jazz
0x1328, K.K. Fusion
0x1329, K.K. Etude
0x132A, K.K. Lullaby
0x132B, K.K. Aria
0x132C, K.K. Samba
0x132D, K.K. Bossa
0x132E, K.K. Calypso
0x132F, K.K. Salsa
0x1330, K.K. Mambo
0x1331, K.K. Reggae
0x1332, K.K. Ska
0x1333, K.K. Tango
0x1334, K.K. Faire
0x1335, Aloha K.K.
0x1336, Lucky K.K.
0x1337, K.K. Condor
0x1338, K.K. Steppe
0x1339, Imperial K.K.
0x133A, K.K. Casbah
0x133B, K.K. Safari
0x133C, K.K. Folk
0x133D, K.K. Rock
0x133E, Rockin' K.K.
0x133F, K.K. Ragtime
0x1340, K.K. Gumbo
0x1341, The K. Funk
0x1342, K.K. Blues
0x1343, Soulful K.K.
0x1344, K.K. Soul
0x1345, K.K. Cruisin'
0x1346, K.K. Love Song
0x1347, K.K. D & B
0x1348, K.K. Technopop
0x1349, DJ K.K.
0x134A, Only Me
0x134B, K.K. Country
0x134C, Surfin' K.K.
0x134D, K.K. Ballad
0x134E, Comrade K.K.
0x134F, K.K. Lament
0x1350, Go K.K. Rider!
0x1351, K.K. Dirge
0x1352, K.K. Western
0x1353, Mr. K.K.
0x1354, Café K.K.
0x1355, K.K. Parade
0x1356, Señor K.K.
0x1357, K.K. Song
0x1358, I Love You
0x1359, Two Days Ago
0x135A, My Place
0x135B, Forest Life
0x135C, To The Edge
0x135D, Pondering
0x135E, K.K. Dixie
0x135F, K.K. Marathon
0x1360, King K.K.
0x1361, Mountain Song
0x1362, Marine Song 2001
0x1363, Neapolitan
0x1364, Steep Hill
0x1365, K.K. Rockabilly
0x1366, Agent K.K.
0x1367, K.K. Rally
0x1368, K.K. Metal
//Tools
0x1369, Shovel
0x136A, Golden Shovel
0x136B, Axe (New)
0x136C, Axe
0x136D, Axe
0x136E, Axe
0x136F, Axe
0x1370, Axe
0x1371, Axe
0x1372, Axe (Worn)
0x1373, Golden Axe
0x1374, Fishing Rod
0x1375, Golden Rod
0x1376, Net
0x1377, Golden Net
0x1378, Watering Can
0x1379, Golden Can
0x137A, Slingshot
0x137B, Golden Slingshot
//Held Items
0x137C, Dandelion Puffs
0x137D, Party Popper
0x137E, Sparkler
0x137F, Roman Candle
//Umbrellas
0x1380, Gelato Umbrella
0x1381, Bat Umbrella
0x1382, Lacy Parasol
0x1383, Leaf Umbrella
0x1384, Paper Parasol
0x1385, Ribbon Umbrella
0x1386, Red Umbrella
0x1387, Blue Umbrella
0x1388, Yellow Umbrella
0x1389, Green Umbrella
0x138A, Candy Umbrella
0x138B, Melon Umbrella
0x138C, Mint Umbrella
0x138D, Picnic Umbrella
0x138E, Lemon Umbrella
0x138F, Toad Parasol
0x1390, Eggy Parasol
0x1391, Blue Dot Parasol
0x1392, Daisy Umbrella
0x1393, Paw Umbrella
0x1394, Petal Parasol
0x1395, Busted Umbrella
0x1396, Sunny Parasol
0x1397, Beach Umbrella
0x1398, Elegant Umbrella
0x1399, Modern Umbrella
0x139A, Leopard Umbrella
0x139B, Zebra Umbrella
0x139C, Forest Umbrella
0x139D, Flame Umbrella
0x139E, Camo Umbrella
0x139F, Spider Umbrella
0x13A0, Custom Umbrella #1
0x13A1, Custom Umbrella #2
0x13A2, Custom Umbrella #3
0x13A3, Custom Umbrella #4
0x13A4, Custom Umbrella #5
0x13A5, Custom Umbrella #6
0x13A6, Custom Umbrella #7
0x13A7, Custom Umbrella #8
//Hats
0x13A8, Pilot's Cap
0x13A9, Fireman's Hat
0x13AA, Baby's Hat
0x13AB, White Veil
0x13AC, Turban
0x13AD, Warbonnet
0x13AE, Kaffiyeh
0x13AF, Cow Bone
0x13B0, Samurai Wig
0x13B1, Geisha Wig
0x13B2, Ninja Hood
0x13B3, Powdered Wig
0x13B4, Afro Wig
0x13B5, Regent Wig
0x13B6, Mohawk Wig
0x13B7, Pigtail
0x13B8, Bunny Hood
0x13B9, Racing Helmet
0x13BA, Motocross Helmet
0x13BB, Football Helmet
0x13BC, Knight's Helmet
0x13BD, Roman Helmet
0x13BE, Diving Mask
0x13BF, Space Helmet
0x13C0, Ski Mask
0x13C1, Wrestling Mask
0x13C2, Dressing
0x13C3, King Tut Wig
0x13C4, White Veil
0x13C5, White Veil
0x13C6, White Veil
0x13C7, White Veil
0x13C8, White Cap
0x13C9, Red Cap
0x13CA, Yellow Cap
0x13CB, Light Blue Cap
0x13CC, Green Cap
0x13CD, Star Cap
0x13CE, 1-Up Cap
0x13CF, Purple Cap
0x13D0, Blue Knit Hat
0x13D1, Green Knit Hat
0x13D2, Orange Knit Hat
0x13D3, Pink Knit Hat
0x13D4, Purple Knit Hat
0x13D5, Red Pom-pom Hat
0x13D6, Badge Hat
0x13D7, Straw Hat
0x13D8, Grandpa Hat
0x13D9, Paperboy Cap
0x13DA, Beret
0x13DB, Dandy Hat
0x13DC, Hunter's Cap
0x13DD, Detective Hat
0x13DE, Top Hat
0x13DF, Puffy Hat
0x13E0, Bandana
0x13E1, Swimming Cap
0x13E2, Wizard's Cap
0x13E3, Big Bro's Hat
0x13E4, Li'l Bro's Hat
0x13E5, Bicycle Helmet
0x13E6, Chef's Hat
0x13E7, Combat Helmet
0x13E8, Scholar's Hat
0x13E9, Safety Helmet
0x13EA, Police Cap
0x13EB, Explorer's Hat
0x13EC, Captain's Hat
0x13ED, Sailor's Hat
0x13EE, Silk Hat
0x13EF, Outback Hat
0x13F0, Dutch Hat
0x13F1, Sombrero
0x13F2, Tyrolean Hat
0x13F3, Viking Helmet
0x13F4, Cavalier Hat
0x13F5, Pirate's Hat
0x13F6, Jester's Cap
0x13F7, Witch's Hat
0x13F8, Red Ribbon
0x13F9, Blue Ribbon
0x13FA, Yellow Ribbon
0x13FB, Heart Hairpin
0x13FC, Star Hairpin
0x13FD, Moon Hairpin
0x13FE, Green Feather
0x13FF, Blue Feather
0x1400, Yellow Feather
0x1401, Red Feather
0x1402, Purple Feather
0x1403, White Feather
0x1404, Rainbow Feather
0x1405, Halo
0x1406, Royal Crown
0x1407, Crown
//Flowers
0x1408, Red Tulips
0x1409, White Tulips
0x140A, Yellow Tulips
0x140B, Pink Tulips
0x140C, Purple Tulips
0x140D, Black Tulips
0x140E, White Pansies
0x140F, Yellow Pansies
0x1410, Red Pansies
0x1411, Purple Pansies
0x1412, Orange Pansies
0x1413, Blue Pansies
0x1414, White Cosmos
0x1415, Red Cosmos
0x1416, Sun Cosmos
0x1417, Pink Cosmos
0x1418, Orange Cosmos
0x1419, Black Cosmos
//Custom Hats
0x1429, Custom Hat #1
0x142A, Custom Hat #2
0x142B, Custom Hat #3
0x142C, Custom Hat #4
0x142D, Custom Hat #5
0x142E, Custom Hat #6
0x142F, Custom Hat #7
0x1430, Custom Hat #8
//Glasses/Masks
0x1431, Blue Frames
0x1432, Red Glasses
0x1433, Yellow Glasses
0x1434, Mint Glasses
0x1435, Purple Glasses
0x1436, Green Glasses
0x1437, Brown Glasses
0x1438, Pink Glasses
0x1439, Thick Glasses
0x143A, Silver Frames
0x143B, Rimmed Glasses
0x143C, Funky Glasses
0x143D, Pilot Shades
0x143E, Sporty Shades
0x143F, Huge Shades
0x1440, Triangle Shades
0x1441, Tiny Shades
0x1442, 3-D Glasses
0x1443, Masquerade Mask
0x1444, Hero's Mask
0x1445, Goggles
0x1446, Snorkel Mask
0x1447, Eye Mask
0x1448, HMD
0x1449, Monocle
0x144A, Doctor's Mirror
0x144B, Eye Patch
0x144C, Post-op Patch
0x144D, Gas Mask
0x144E, Hockey Mask
0x144F, Red Nose
0x1450, Stache & Glasses
0x1451, Big Bro Mustache
0x1452, Curly Mustache
0x1453, Mini-mustache
0x1454, King's Beard
0x1455, Mask
0x1456, Pacifier
0x1457, Mini-Mustache #1
0x1458, Mini-Mustache #2
0x1459, Mini-Mustache #3
0x145A, Mini-Mustache #4
0x145B, Mini-Mustache #5
0x145C, Mini-Mustache #6
0x145D, Mini-Mustache #7
0x145E, Mini-Mustache #8
0x145F, Mini-Mustache #9
0x1460, Mini-Mustache #10
0x1461, Mini-Mustache #11
0x1462, Mini-Mustache #12
0x1463, Mini-Mustache #13
0x1464, Mini-Mustache #14
0x1465, Mini-Mustache #15
0x1466, Mini-Mustache #16
0x1467, Mini-Mustache #17
0x1468, Mini-Mustache #18
0x1469, Mini-Mustache #19
0x146A, Mini-Mustache #20
0x146B, Mini-Mustache #21
0x146C, Mini-Mustache #22
0x146D, Mini-Mustache #23
0x146E, Mini-Mustache #24
0x146F, Mini-Mustache #25
0x1470, Mini-Mustache #26
0x1471, Red Tulips (Unused)
0x1472, White Tulips (Unused)
0x1473, Yellow Tulips (Unused)
0x1474, Pink Tulips (Unused)
0x1475, Purple Tulips (Unused)
0x1476, Black Tulips (Unused)
0x1477, White Pansies (Unused)
0x1478, Yellow Pansies (Unused)
0x1479, Red Pansies (Unused)
0x147A, Purple Pansies (Unused)
0x147B, Orange Pansies (Unused)
0x147C, Blue Pansies (Unused)
0x147D, White Cosmos (Unused)
0x147E, Red Cosmos (Unused)
0x147F, Yellow Cosmos (Unused)
0x1480, Pink Cosmos (Unused)
0x1481, Orange Cosmos (Unused)
0x1482, Black Cosmos (Unused)
0x1483, Red Roses (Unused)
0x1484, White Roses (Unused)
0x1485, Yellow Roses (Unused)
0x1486, Pink Roses (Unused)
0x1487, Orange Roses (Unused)
0x1488, Purple Roses (Unused)
0x1489, Black Roses (Unused)
0x148A, Blue Roses (Unused)
0x148B, Jacob's Ladder (Unused)
0x148C, Rafflesia (Unused)
0x148D, Gold Roses (Unused)
0x148E, Dandelions (Unused)
0x148F, Dandelion Puffs (Unused)
0x1490, Cardboard Box (Unused)
0x1491, Four Leaf Clover (Unused)
//Bells
0x1492, 100 Bells
0x1493, 200 Bells
0x1494, 300 Bells
0x1495, 400 Bells
0x1496, 500 Bells
0x1497, 600 Bells
0x1498, 700 Bells
0x1499, 800 Bells
0x149A, 900 Bells
0x149B, 1,000 Bells
0x149C, 2,000 Bells
0x149D, 3,000 Bells
0x149E, 4,000 Bells
0x149F, 5,000 Bells
0x14A0, 6,000 Bells
0x14A1, 7,000 Bells
0x14A2, 8,000 Bells
0x14A3, 9,000 Bells
0x14A4, 10,000 Bells
0x14A5, 11,000 Bells
0x14A6, 12,000 Bells
0x14A7, 13,000 Bells
0x14A8, 14,000 Bells
0x14A9, 15,000 Bells
0x14AA, 16,000 Bells
0x14AB, 17,000 Bells
0x14AC, 18,000 Bells
0x14AD, 19,000 Bells
0x14AE, 20,000 Bells
0x14AF, 21,000 Bells
0x14B0, 22,000 Bells
0x14B1, 23,000 Bells
0x14B2, 24,000 Bells
0x14B3, 25,000 Bells
0x14B4, 26,000 Bells
0x14B5, 27,000 Bells
0x14B6, 28,000 Bells
0x14B7, 29,000 Bells
0x14B8, 30,000 Bells
0x14B9, 31,000 Bells
0x14BA, 32,000 Bells
0x14BB, 33,000 Bells
0x14BC, 34,000 Bells
0x14BD, 35,000 Bells
0x14BE, 36,000 Bells
0x14BF, 37,000 Bells
0x14C0, 38,000 Bells
0x14C1, 39,000 Bells
0x14C2, 40,000 Bells
0x14C3, 41,000 Bells
0x14C4, 42,000 Bells
0x14C5, 43,000 Bells
0x14C6, 44,000 Bells
0x14C7, 45,000 Bells
0x14C8, 46,000 Bells
0x14C9, 47,000 Bells
0x14CA, 48,000 Bells
0x14CB, 49,000 Bells
0x14CC, 50,000 Bells
0x14CD, 51,000 Bells
0x14CE, 52,000 Bells
0x14CF, 53,000 Bells
0x14D0, 54,000 Bells
0x14D1, 55,000 Bells
0x14D2, 56,000 Bells
0x14D3, 57,000 Bells
0x14D4, 58,000 Bells
0x14D5, 59,000 Bells
0x14D6, 60,000 Bells
0x14D7, 61,000 Bells
0x14D8, 62,000 Bells
0x14D9, 63,000 Bells
0x14DA, 64,000 Bells
0x14DB, 65,000 Bells
0x14DC, 66,000 Bells
0x14DD, 67,000 Bells
0x14DE, 68,000 Bells
0x14DF, 69,000 Bells
0x14E0, 70,000 Bells
0x14E1, 71,000 Bells
0x14E2, 72,000 Bells
0x14E3, 73,000 Bells
0x14E4, 74,000 Bells
0x14E5, 75,000 Bells
0x14E6, 76,000 Bells
0x14E7, 77,000 Bells
0x14E8, 78,000 Bells
0x14E9, 79,000 Bells
0x14EA, 80,000 Bells
0x14EB, 81,000 Bells
0x14EC, 82,000 Bells
0x14ED, 83,000 Bells
0x14EE, 84,000 Bells
0x14EF, 85,000 Bells
0x14F0, 86,000 Bells
0x14F1, 87,000 Bells
0x14F2, 88,000 Bells
0x14F3, 89,000 Bells
0x14F4, 90,000 Bells
0x14F5, 91,000 Bells
0x14F6, 92,000 Bells
0x14F7, 93,000 Bells
0x14F8, 94,000 Bells
0x14F9, 95,000 Bells
0x14FA, 96,000 Bells
0x14FB, 97,000 Bells
0x14FC, 98,000 Bells
0x14FD, 99,000 Bells
//Flower Bags
0x14FE, Red Tulip Bag
0x14FF, White Tulip Bag
0x1500, Yellow Tulip Bag
0x1501, Pink Tulip Bag (Unused)
0x1502, Purple Tulip Bag (Unused)
0x1503, Black Tulip Bag (Unused)
0x1504, White Pansy Bag
0x1505, Yellow Pansy Bag
0x1506, Red Pansy Bag
0x1507, Purple Pansy Bag (Unused)
0x1508, Orange Pansy Bag (Unused)
0x1509, Blue Pansy Bag (Unused)
0x150A, White Cosmos Bag
0x150B, Red Cosmos Bag
0x150C, Sun Cosmos Bag
0x150D, Pink Cosmos Bag (Unused)
0x150E, Orange Cosmos Bag (Unused)
0x150F, Black Cosmos Bag (Unused)
0x1510, Red Rose Bag
0x1511, White Rose Bag
0x1512, Yellow Rose Bag
0x1513, Pink Rose Bag (Unused)
0x1514, Orange Rose Bag (Unused)
0x1515, Purple Rose Bag (Unused)
0x1516, Black Rose Bag (Unused)
0x1517, Blue Rose Bag (Unused)
//Fruit
0x1518, Apple
0x1519, Orange
0x151A, Pear
0x151B, Peach
0x151C, Cherry
//Saplings
0x151D, Sapling
0x151E, Cedar Sapling
//Note in a Bottle
0x151F, Note in a Bottle (Blank)
0x1520, Note in a Bottle (Washed Ashore)
//Paint
0x1521, Gray Paint
0x1522, Brown Paint
0x1523, Red Paint
0x1524, Pink Paint
0x1525, Orange Paint
0x1526, Yellow Paint
0x1527, Pale Green Paint
0x1528, Green Paint
0x1529, Dark Green Paint
0x152A, Turquoise Paint
0x152B, Sky Blue Paint
0x152C, Blue Paint
0x152D, Navy Paint
0x152E, Purple Paint
0x152F, Lilac Paint
0x1530, Hot Pink Paint
//Turnips
0x1531, 10 Turnips
0x1532, 20 Turnips
0x1533, 30 Turnips
0x1534, 40 Turnips
0x1535, 50 Turnips
0x1536, 60 Turnips
0x1537, 70 Turnips
0x1538, 80 Turnips
0x1539, 90 Turnips
0x153A, 100 Turnips
0x153B, Red Turnip
0x153C, Red Turnip
0x153D, Red Turnip
0x153E, Red Turnip
0x153F, Red Turnip
0x1540, Red Turnip
0x1541, Red Turnip
//Acorns
0x1542, Acorn
0x1543, Large Acorn
0x1544, Small Acorn
0x1545, Round Acorn
0x1546, Rotten Acorn
//Misc.
0x1547, Sold-out Sign
//Fruit
0x1548, Coconut
//Fossil
0x1549, Fossil
//Spoiled Turnips
0x154A, Spoiled Turnips
0x154B, Spoiled Turnips
0x154C, Spoiled Turnips
0x154D, Spoiled Turnips
0x154E, Spoiled Turnips
0x154F, Spoiled Turnips
0x1550, Spoiled Turnips
0x1551, Spoiled Turnips
0x1552, Spoiled Turnips
0x1553, Spoiled Turnips
//Sea Shells
0x1554, Pearl Oyster
0x1555, Conch
0x1556, White Scallop
0x1557, Coral
0x1558, Venus Comb
0x1559, Scallop
0x155A, Dall's Top
0x155B, Porceletta
0x155C, Sand Dollar
//Lost Item
0x155D, Lost Item
//Items
0x155E, Medicine
0x155F, Carpet Package
0x1560, Wall Package
0x1561, S Carpet Package
0x1562, S Wall Package
0x1563, S Furniture Box
0x1564, S Can Package
0x1565, Letter
0x1566, Pitfall Seed
0x1567, Red Turnip Seed
0x1568, UFO Part
0x1569, Honey Comb (Unused)
0x156A, Four Leaf Clover (Unused)
0x156B, Present
0x156C, Timer
// 0x156D - 0x1FFF = Pitfall Seed (Garbage) (Item placeholder?)
//Furniture
0x3000, Exotic Bed
0x3004, Exotic Bureau
0x3008, Exotic Wardrobe
0x300C, Exotic Bench
0x3010, Exotic Chair
0x3014, Exotic Table
0x3018, Exotic End Table
0x301C, Exotic Lamp
0x3020, Exotic Screen
0x3024, Exotic Chest
0x3028, Ranch Bed
0x302C, Ranch Dresser
0x3030, Ranch Wardrobe
0x3034, Ranch Couch
0x3038, Ranch Armchair
0x303C, Ranch Chair
0x3040, Ranch Table
0x3044, Ranch Tea Table
0x3048, Ranch Bookcase
0x304C, Ranch Hutch
0x3050, Classic Bed
0x3054, Classic Vanity
0x3058, Classic Wardrobe
0x305C, Classic Chair
0x3060, Classic Sofa
0x3064, Classic Table
0x3068, Classic Bookcase
0x306C, Classic Buffet
0x3070, Classic Desk
0x3074, Classic Clock
0x3078, Regal Bed
0x307C, Regal Dresser
0x3080, Regal Armoire
0x3084, Regal Chair
0x3088, Regal Sofa
0x308C, Regal Table
0x3090, Regal Lamp
0x3094, Regal Clock
0x3098, Regal Bookcase
0x309C, Regal Vanity
0x30A0, Blue Bed
0x30A4, Blue Bureau
0x30A8, Blue Wardrobe
0x30AC, Blue Chair
0x30B0, Blue Bench
0x30B4, Blue Table
0x30B8, Blue Bookcase
0x30BC, Blue Cabinet
0x30C0, Blue Clock
0x30C4, Blue Dresser
0x30C8, Cabana Bed
0x30CC, Cabana Dresser
0x30D0, Cabana Wardrobe
0x30D4, Cabana Chair
0x30D8, Cabana Armchair
0x30DC, Cabana Table
0x30E0, Cabana Lamp
0x30E4, Cabana Bookcase
0x30E8, Cabana Vanity
0x30EC, Cabana Screen
0x30F0, Green Bed
0x30F4, Green Dresser
0x30F8, Green Wardrobe
0x30FC, Green Chair
0x3100, Green Bench
0x3104, Green Table
0x3108, Green Desk
0x310C, Green Lamp
0x3110, Green Counter
0x3114, Green Pantry
0x3118, Cabin Bed
0x311C, Cabin Dresser
0x3120, Cabin Wardrobe
0x3124, Cabin Chair
0x3128, Cabin Armchair
0x312C, Cabin Couch
0x3130, Cabin Table
0x3134, Cabin Low Table
0x3138, Cabin Bookcase
0x313C, Cabin Clock
0x3140, Modern Bed
0x3144, Modern Dresser
0x3148, Modern Wardrobe
0x314C, Modern Chair
0x3150, Modern Sofa
0x3154, Modern End Table
0x3158, Modern Desk
0x315C, Modern Table
0x3160, Modern Cabinet
0x3164, Modern Lamp
0x3168, Kiddie Bed
0x316C, Kiddie Dresser
0x3170, Kiddie Wardrobe
0x3174, Kiddie Couch
0x3178, Kiddie Chair
0x317C, Kiddie Table
0x3180, Kiddie Bureau
0x3184, Kiddie Bookcase
0x3188, Kiddie Clock
0x318C, Kiddie Stereo
0x3190, Lovely Bed
0x3194, Lovely Dresser
0x3198, Lovely Armoire
0x319C, Lovely Chair
0x31A0, Lovely Loveseat
0x31A4, Lovely End Table
0x31A8, Lovely Table
0x31AC, Lovely Vanity
0x31B0, Lovely Kitchen
0x31B4, Lovely Lamp
0x31B8, Robo-bed
0x31BC, Robo-dresser
0x31C0, Robo-closet
0x31C4, Robo-sofa
0x31C8, Robo-chair
0x31CC, Robo-table
0x31D0, Robo-stereo
0x31D4, Robo-TV
0x31D8, Robo-clock
0x31DC, Robo-lamp
0x31E0, Snowman Bed
0x31E4, Snowman Dresser
0x31E8, Snowman Wardrobe
0x31EC, Snowman Chair
0x31F0, Snowman Sofa
0x31F4, Snowman Table
0x31F8, Snowman Fridge
0x31FC, Snowman TV
0x3200, Snowman Clock
0x3204, Snowman Lamp
0x3208, Mush Bed
0x320C, Mush Dresser
0x3210, Mush Closet
0x3214, Mush Chair
0x3218, Mush Stool
0x321C, Mush Table
0x3220, Mush End Table
0x3224, Mush Lamp
0x3228, Mush Stand
0x322C, Mush TV
0x3230, Cow Skull
0x3234, Desert Cactus
0x3238, Western Fence
0x323C, Saddle Fence
0x3240, Storefront
0x3244, Covered Wagon
0x3248, Watering Trough
0x324C, Tumbleweed
0x3250, Well
0x3254, Wagon Wheel
0x3258, Asteroid
0x325C, Moon
0x3260, Lunar Lander
0x3264, Rocket
0x3268, Lunar Rover
0x326C, Satellite
0x3270, Space Shuttle
0x3274, Spaceman Sam
0x3278, Space Station
0x327C, Flying Saucer
0x3280, Detour Arrow
0x3284, Handcart
0x3288, Iron Frame
0x328C, Manhole Cover
0x3290, Orange Cone
0x3294, Traffic Cone
0x3298, Saw Horse
0x329C, Wet Roadway Sign
0x32A0, Steam Roller
0x32A4, Jackhammer
0x32A8, Striped Cone
0x32AC, Cement Mixer
0x32B0, Brown Drum
0x32B4, Green Drum
0x32B8, Red Drum
0x32BC, Haz-mat Barrel
0x32C0, Oil Drum
0x32C4, Boxing Barricade
0x32C8, Red Corner
0x32CC, Blue Corner
0x32D0, Neutral Corner
0x32D4, Judge's Bell
0x32D8, Boxing Mat
0x32DC, Ringside Table
0x32E0, Weight Bench
0x32E4, Sandbag
0x32E8, Speed Bag
0x32EC, Birdhouse
0x32F0, Mr. Flamingo
0x32F4, Mrs. Flamingo
0x32F8, Garden Gnome
0x32FC, Bug Zapper
0x3300, Hammock
0x3304, Bird Bath
0x3308, Picnic Table
0x330C, Bird Feeder
0x3310, Lawn Chair
0x3314, Lawn Mower
0x3318, Barbecue
0x331C, Backyard Pool
0x3320, Sprinkler
0x3324, Tiki Torch
0x3328, Garbage
0x332C, Elephant Slide
0x3330, Stroller
0x3334, Cradle
0x3338, Baby Bed
0x333C, Clackercart
0x3340, Merry-go-round
0x3344, Rocking Horse
0x3348, Train Set
0x334C, Wobbelina
0x3350, Dolly
0x3354, Lab Bench
0x3358, Lab Chair
0x335C, Medicine Chest
0x3360, Florence Flask
0x3364, Amazing Machine
0x3368, Unknown Machine
0x336C, Complex Machine
0x3370, Helm
0x3374, Barrel
0x3378, Keg
0x337C, Ship Cannon
0x3380, Anchor
0x3384, Ship Compass
0x3388, Black Pawn
0x338C, Black Bishop
0x3390, Black King
0x3394, Black Knight
0x3398, Black Queen
0x339C, Black Rook
0x33A0, White Pawn
0x33A4, White Bishop
0x33A8, White King
0x33AC, White Knight
0x33B0, White Queen
0x33B4, White Rook
0x33B8, Hamster Cage
0x33BC, Mop
0x33C0, Skeleton
0x33C4, Anatomical Model
0x33C8, Clear Model
0x33CC, Vision Tester
0x33D0, Trunk Measure
0x33D4, Stadiometer
0x33D8, Scale
0x33DC, Hospital Bed
0x33E0, Writing Desk
0x33E4, Writing Chair
0x33E8, Globe
0x33EC, Office Desk
0x33F0, Office Chair
0x33F4, Office Locker
