//Flowers
0x009E, Red Tulips
0x9570, Mr. K.K.
0x9574, Café K.K.
0x9578, K.K. Parade
0x957C, Señor K.K.
0x9580, K.K. Song
0x9584, I Love You
0x9588, Two Days Ago
0x958C, My Place
0x9590, Forest Life
0x9594, To The Edge
0x9598, Pondering
0x959C, K.K. Dixie
0x95A0, K.K. Marathon
0x95A4, King K.K.
0x95A8, Mountain Song
0x95AC, Marine Song 2001
0x95B0, Neapolitan
0x95B4, Steep Hill
0x95B8, K.K. Rockabilly
0x95BC, Agent K.K.
0x95C0, K.K. Rally
0x95C4, K.K. Metal
0x95C8, Stale Cupcakes
0x95CC, Spring Blossoms
0x95D0, Wandering
0x95D4, K.K. House
0x95D8, K.K. Sonata
0x95DC, Not Used
0x95E0, Not Used
0x95E4, Not Used
//Mushrooms
0x9168, Elegant Mushroom
0x916C, Round Mushroom
0x9170, Skinny Mushroom
0x9174, Flat Mushroom
0x9178, Rare Mushroom
0x93E8, Forest Wall
0x93EC, Forest Floor
0x93F0, Mush Bed
0x93F4, Mush Dresser
0x93F8, Mush Closet
0x93FC, Mush Chair
0x9400, Mush Stool
0x9404, Mush Table
0x9408, Mush End Table
0x940C, Mush Lamp
0x9410, Mush Stand
0x9414, Mush TV
//Paper
0x9640, Butterfly Paper (1)
0x9641, Butterfly Paper (2)
0x9642, Butterfly Paper (3)
0x9643, Butterfly Paper (4)
0x9644, Airmail Paper (1)
0x9645, Airmail Paper (2)
0x9646, Airmail Paper (3)
0x9647, Airmail Paper (4)
0x9648, New Year's Cards (1)
0x9649, New Year's Cards (2)
0x964A, New Year's Cards (3)
0x964B, New Year's Cards (4)
0x964C, Lacy Paper (1)
0x964D, Lacy Paper (2)
0x964E, Lacy Paper (3)
0x964F, Lacy Paper (4)
0x9650, Cloudy Paper (1)
0x9651, Cloudy Paper (2)
0x9652, Cloudy Paper (3)
0x9653, Cloudy Paper (4)
0x9654, Petal Paper (1)
0x9655, Petal Paper (2)
0x9656, Petal Paper (3)
0x9657, Petal Paper (4)
0x9658, Snowy Paper (1)
0x9659, Snowy Paper (2)
0x965A, Snowy Paper (3)
0x965B, Snowy Paper (4)
0x965C, Maple-leaf Paper (1)
0x965D, Maple-leaf Paper (2)
0x965E, Maple-leaf Paper (3)
0x965F, Maple-leaf Paper (4)
0x9660, Lined Paper (1)
0x9661, Lined Paper (2)
0x9662, Lined Paper (3)
0x9663, Lined Paper (4)
0x9664, Notebook Paper (1)
0x9665, Notebook Paper (2)
0x9666, Notebook Paper (3)
0x9667, Notebook Paper (4)
0x9668, Flowery Paper (1)
0x9669, Flowery Paper (2)
0x966A, Flowery Paper (3)
0x966B, Flowery Paper (4)
0x966C, Polka-dot Paper (1)
0x966D, Polka-dot Paper (2)
0x966E, Polka-dot Paper (3)
0x966F, Polka-dot Paper (4)
0x9670, Weathered Paper (1)
0x9671, Weathered Paper (2)
0x9672, Weathered Paper (3)
0x9673, Weathered Paper (4)
0x9674, Ribbon Paper (1)
0x9675, Ribbon Paper (2)
0x9676, Ribbon Paper (3)
0x9677, Ribbon Paper (4)
0x9678, Sparkly Paper (1)
0x9679, Sparkly Paper (2)
0x967A, Sparkly Paper (3)
0x967B, Sparkly Paper (4)
0x967C, Vine Paper (1)
0x967D, Vine Paper (2)
0x967E, Vine Paper (3)
0x967F, Vine Paper (4)
0x9680, Formal Paper (1)
0x9681, Formal Paper (2)
0x9682, Formal Paper (3)
0x9683, Formal Paper (4)
0x9684, Snowman Paper (1)
0x9685, Snowman Paper (2)
0x9686, Snowman Paper (3)
0x9687, Snowman Paper (4)
0x9688, Card Paper (1)
0x9689, Card Paper (2)
0x968A, Card Paper (3)
0x968B, Card Paper (4)
0x968C, Leopard Paper (1)
0x968D, Leopard Paper (2)
0x968E, Leopard Paper (3)
0x968F, Leopard Paper (4)
0x9690, Cow Paper (1)
0x9691, Cow Paper (2)
0x9692, Cow Paper (3)
0x9693, Cow Paper (4)
0x9694, Camouflage Paper (1)
0x9695, Camouflage Paper (2)
0x9696, Camouflage Paper (3)
0x9697, Camouflage Paper (4)
0x9698, Hamburger Paper (1)
0x9699, Hamburger Paper (2)
0x969A, Hamburger Paper (3)
0x969B, Hamburger Paper (4)
0x969C, Piano Paper (1)
0x969D, Piano Paper (2)
0x969E, Piano Paper (3)
0x969F, Piano Paper (4)
0x96A0, Nook Paper (1)
0x96A1, Nook Paper (2)
0x96A2, Nook Paper (3)
0x96A3, Nook Paper (4)
0x96A4, Invite Card (1)
0x96A5, Invite Card (2)
0x96A6, Invite Card (3)
0x96A7, Invite Card (4)
0x96A8, Birthday Card (1)
0x96A9, Birthday Card (2)
0x96AA, Birthday Card (3)
0x96AB, Birthday Card (4)
0x96AC, Four-leaf Paper (1)
0x96AD, Four-leaf Paper (2)
0x96AE, Four-leaf Paper (3)
0x96AF, Four-leaf Paper (4)
0x96B0, Town-hall Paper (1)
0x96B1, Town-hall Paper (2)
0x96B2, Town-hall Paper (3)
0x96B3, Town-hall Paper (4)
0x96B4, Tortimer Paper (1)
0x96B5, Tortimer Paper (2)
0x96B6, Tortimer Paper (3)
0x96B7, Tortimer Paper (4)
0x96B8, Insurance Paper (1)
0x96B9, Insurance Paper (2)
0x96BA, Insurance Paper (3)
0x96BB, Insurance Paper (4)
0x96BC, Academy Paper (1)
0x96BD, Academy Paper (2)
0x96BE, Academy Paper (3)
0x96BF, Academy Paper (4)
0x96C0, Lovely Paper (1)
0x96C1, Lovely Paper (2)
0x96C2, Lovely Paper (3)
0x96C3, Lovely Paper (4)
0x96C4, Rainbow Paper (1)
0x96C5, Rainbow Paper (2)
0x96C6, Rainbow Paper (3)
0x96C7, Rainbow Paper (4)
0x96C8, Egyptian Paper (1)
0x96C9, Egyptian Paper (2)
0x96CA, Egyptian Paper (3)
0x96CB, Egyptian Paper (4)
0x96CC, Lotus Paper (1)
0x96CD, Lotus Paper (2)
0x96CE, Lotus Paper (3)
0x96CF, Lotus Paper (4)
0x96D0, Tile Paper (1)
0x96D1, Tile Paper (2)
0x96D2, Tile Paper (3)
0x96D3, Tile Paper (4)
0x96D4, Mosaic Paper (1)
0x96D5, Mosaic Paper (2)
0x96D6, Mosaic Paper (3)
0x96D7, Mosaic Paper (4)
0x96D8, Elegant Paper (1)
0x96D9, Elegant Paper (2)
0x96DA, Elegant Paper (3)
0x96DB, Elegant Paper (4)
0x96DC, Town-view Paper (1)
0x96DD, Town-view Paper (2)
0x96DE, Town-view Paper (3)
0x96DF, Town-view Paper (4)
0x96E0, Chinese Paper (1)
0x96E1, Chinese Paper (2)
0x96E2, Chinese Paper (3)
0x96E3, Chinese Paper (4)
0x96E4, Ocean Paper (1)
0x96E5, Ocean Paper (2)
0x96E6, Ocean Paper (3)
0x96E7, Ocean Paper (4)
0x96E8, Industrial Paper (1)
0x96E9, Industrial Paper (2)
0x96EA, Industrial Paper (3)
0x96EB, Industrial Paper (4)
0x96EC, Fireworks Paper (1)
0x96ED, Fireworks Paper (2)
0x96EE, Fireworks Paper (3)
0x96EF, Fireworks Paper (4)
0x96F0, Floral Paper (1)
0x96F1, Floral Paper (2)
0x96F2, Floral Paper (3)
0x96F3, Floral Paper (4)
0x96F4, Mushroom Paper (1)
0x96F5, Mushroom Paper (2)
0x96F6, Mushroom Paper (3)
0x96F7, Mushroom Paper (4)
0x96F8, Star Paper (1)
0x96F9, Star Paper (2)
0x96FA, Star Paper (3)
0x96FB, Star Paper (4)
0x96FC, Composer Paper (1)
0x96FD, Composer Paper (2)
0x96FE, Composer Paper (3)
0x96FF, Composer Paper (4)
0x9700, Bathtub Paper (1)
0x9701, Bathtub Paper (2)
0x9702, Bathtub Paper (3)
0x9703, Bathtub Paper (4)
0x9704, SMB3 Paper (1)
0x9705, SMB3 Paper (2)
0x9706, SMB3 Paper (3)
0x9707, SMB3 Paper (4)
0x9708, Cool Paper (1)
0x9709, Cool Paper (2)
0x970A, Cool Paper (3)
0x970B, Cool Paper (4)
0x970C, Forest Paper (1)
0x970D, Forest Paper (2)
0x970E, Forest Paper (3)
0x970F, Forest Paper (4)
0x9710, Bubble Paper (1)
0x9711, Bubble Paper (2)
0x9712, Bubble Paper (3)
0x9713, Bubble Paper (4)
0x9714, Buttercup Paper (1)
0x9715, Buttercup Paper (2)
0x9716, Buttercup Paper (3)
0x9717, Buttercup Paper (4)
0x9718, Tartan Paper (1)
0x9719, Tartan Paper (2)
0x971A, Tartan Paper (3)
0x971B, Tartan Paper (4)
0x971C, Plaid Paper (1)
0x971D, Plaid Paper (2)
0x971E, Plaid Paper (3)
0x971F, Plaid Paper (4)
0x9720, Lemon-lime Paper (1)
0x9721, Lemon-lime Paper (2)
0x9722, Lemon-lime Paper (3)
0x9723, Lemon-lime Paper (4)
0x9724, Crater Paper (1)
0x9725, Crater Paper (2)
0x9726, Crater Paper (3)
0x9727, Crater Paper (4)
0x9728, Bejeweled Paper (1)
0x9729, Bejeweled Paper (2)
0x972A, Bejeweled Paper (3)
0x972B, Bejeweled Paper (4)
0x972C, Geometric Paper (1)
0x972D, Geometric Paper (2)
0x972E, Geometric Paper (3)
0x972F, Geometric Paper (4)
0x9730, Southwest Paper (1)
0x9731, Southwest Paper (2)
0x9732, Southwest Paper (3)
0x9733, Southwest Paper (4)
0x9734, Night-sky Paper (1)
0x9735, Night-sky Paper (2)
0x9736, Night-sky Paper (3)
0x9737, Night-sky Paper (4)
0x9738, Chic Paper (1)
0x9739, Chic Paper (2)
0x973A, Chic Paper (3)
0x973B, Chic Paper (4)
0x973C, Goldfish Paper (1)
0x973D, Goldfish Paper (2)
0x973E, Goldfish Paper (3)
0x973F, Goldfish Paper (4)
0x9740, Halloween Paper (1)
0x9741, Halloween Paper (2)
0x9742, Halloween Paper (3)
0x9743, Halloween Paper (4)
0x9744, Lantern Paper (1)
0x9745, Lantern Paper (2)
0x9746, Lantern Paper (3)
0x9747, Lantern Paper (4)
0x9748, Auction Paper (1)
0x9749, Auction Paper (2)
0x974A, Auction Paper (3)
0x974B, Auction Paper (4)
0x974C, Bulletin Paper (1)
0x974D, Bulletin Paper (2)
0x974E, Bulletin Paper (3)
0x974F, Bulletin Paper (4)
//Seashells
0x9118, Pearl Oyster
0x911C, Conch
0x9120, White Scallop
0x9124, Coral
0x9128, Venus Comb
0x912C, Scallop
0x9130, Dall's Top
0x9134, Porceletta
0x9138, Sand Dollar
//Shirts
0xA518, Work Uniform
0xA51C, One-ball Shirt
0xA520, Two-ball Shirt
0xA524, Three-ball Shirt
0xA528, Four-ball Shirt
0xA52C, Five-ball Shirt
0xA530, Six-ball Shirt
0xA534, Seven-ball Shirt
0xA538, Eight-ball Shirt
0xA53C, Nine-ball Shirt
0xA540, Paw Shirt
0xA544, Daisy Shirt
0xA548, Tulip Shirt
0xA54C, Cherry Shirt
0xA550, Skull Shirt
0xA554, U R Here Shirt
0xA558, Lightning Shirt
0xA55C, MVP Shirt
0xA560, BB Shirt
0xA564, Fish-bone Shirt
0xA568, Frog Shirt
0xA56C, Bear Shirt
0xA570, Bunny Shirt
0xA574, Elephant Shirt
0xA578, Spade Shirt
0xA57C, Diamond Shirt
0xA580, Club Shirt
0xA584, Heart Shirt
0xA588, Big Star Shirt
0xA58C, Bright Shirt
0xA590, A Shirt
0xA594, No. 1 Shirt
0xA598, No. 2 Shirt
0xA59C, No. 3 Shirt
0xA5A0, No. 4 Shirt
0xA5A4, No. 5 Shirt
0xA5A8, No. 23 Shirt
0xA5AC, No. 67 Shirt
0xA5B0, Big Bro's Shirt
0xA5B4, Li'l Bro's Shirt
0xA5B8, Cloudy Shirt
0xA5BC, Fresh Shirt
0xA5C0, Dawn Shirt
0xA5C4, Misty Shirt
0xA5C8, Sunset Top
0xA5CC, Deep Blue Tee
0xA5D0, Peachy Shirt
0xA5D4, Rainbow Shirt
0xA5D8, Snowcone Shirt
0xA5DC, Orange Tie-dye
0xA5E0, Purple Tie-dye
0xA5E4, Green Tie-dye
0xA5E8, Blue Tie-dye
0xA5EC, Red Tie-dye
0xA5F0, Bold Check Shirt
0xA5F4, Cafe Shirt
0xA5F8, Checkered Shirt
0xA5FC, Blue Check Shirt
0xA600, Red Check Shirt
0xA604, Houndstooth Knit
0xA608, Houndstooth Tee
0xA60C, Rugby Shirt
0xA610, Green Bar Shirt
0xA614, Yellow Bar Shirt
0xA618, Grape Stripe Tee
0xA61C, Beatnik Shirt
0xA620, Red Bar Shirt
0xA624, Blue Stripe Knit
0xA628, Gelato Shirt
0xA62C, Chain-gang Shirt
0xA630, Speedway Shirt
0xA634, Yellow Tartan
0xA638, Fall Plaid Shirt
0xA63C, Blue Tartan
0xA640, Dapper Shirt
0xA644, Natty Shirt
0xA648, Blue Grid Shirt
0xA64C, Red Grid Shirt
0xA650, Dazed Shirt
0xA654, Checkerboard Tee
0xA658, Toad Shirt
0xA65C, Dark Polka Shirt
0xA660, Lite Polka Shirt
0xA664, Bubble Gum Shirt
0xA668, Funky Dot Shirt
0xA66C, Gumdrop Shirt
0xA670, Big Dot Shirt
0xA674, Aqua Polka Shirt
0xA678, Blue Pinstripe
0xA67C, Yellow Pinstripe
0xA680, Orange Pinstripe
0xA684, Vegetarian Shirt
0xA688, Racer Shirt
0xA68C, American Shirt
0xA690, Rally Shirt
0xA694, Racer 6 Shirt
0xA698, Vertigo Shirt
0xA69C, Barber Shirt
0xA6A0, Jade Check Print
0xA6A4, Blue Check Print
0xA6A8, Mint Gingham Top
0xA6AC, Picnic Shirt
0xA6B0, Candy Gingham
0xA6B4, Lemon Gingham
0xA6B8, Melon Gingham
0xA6BC, Bad Plaid Shirt
0xA6C0, Pink Tartan
0xA6C4, Waffle Shirt
0xA6C8, Gray Tartan
0xA6CC, Red Argyle Top
0xA6D0, Blue Argyle Top
0xA6D4, Pink Argyle Top
0xA6D8, Cyan Argyle Top
0xA6DC, Chevron Shirt
0xA6E0, Icy Shirt
0xA6E4, Aurora Knit
0xA6E8, Winter Sweater
0xA6EC, Folk Shirt
0xA6F0, Argyle Knit
0xA6F4, Uncommon Shirt
0xA6F8, Comfy Sweater
0xA6FC, Beige Knit
0xA700, Earthy Knit
0xA704, Spring Shirt
0xA708, Spunky Knit
0xA70C, Deer Shirt
0xA710, Monkey Shirt
0xA714, Vogue Top
0xA718, Citrus Gingham
0xA71C, Floral Knit
0xA720, Dreamy Shirt
0xA724, Flowery Shirt
0xA728, Silk Bloom Shirt
0xA72C, Pop Bloom Shirt
0xA730, Blossom Shirt
0xA734, Loud Bloom Shirt
0xA738, Rose Shirt
0xA73C, Rose Sky Shirt
0xA740, Lotus Shirt
0xA744, Chocomint Shirt
0xA748, Fern Shirt
0xA74C, Blue Retro Shirt
0xA750, Orange Check Tee
0xA754, Leaf Shirt
0xA758, Fall Leaf Shirt
0xA75C, Straw Shirt
0xA760, Grass Shirt
0xA764, Snow Shirt
0xA768, Lovely Shirt
0xA76C, Bubble Shirt
0xA770, Chichi Print
0xA774, Coral Shirt
0xA778, Groovy Shirt
0xA77C, Cool Shirt
0xA780, Swell Shirt
0xA784, Blue Diamond Top
0xA788, Prism Shirt
0xA78C, Go-go Shirt
0xA790, Flame Shirt
0xA794, Danger Shirt
0xA798, Gracie's Top
0xA79C, Future Shirt
0xA7A0, Optical Shirt
0xA7A4, Twinkle Shirt
0xA7A8, Star Shirt
0xA7AC, Night Sky Tee
0xA7B0, Amethyst Shirt
0xA7B4, Nebula Shirt
0xA7B8, Dice Shirt
0xA7BC, Kiddie Shirt
0xA7C0, Airy Shirt
0xA7C4, Polar Fleece
0xA7C8, Crossing Shirt
0xA7CC, Splendid Shirt
0xA7D0, Jagged Shirt
0xA7D4, Subdued Print
0xA7D8, Sharp Outfit
0xA7DC, Painter's Smock
0xA7E0, Blossoming Shirt
0xA7E4, Jungle Camo
0xA7E8, Arctic Camo
0xA7EC, Desert Camo
0xA7F0, Shirt Circuit
0xA7F4, Pulse Shirt
0xA7F8, Zebra Shirt
0xA7FC, Tiger Shirt
0xA800, Cow Shirt
0xA804, Leopard Shirt
0xA808, Giraffe Shirt
0xA80C, Ladybug Shirt
0xA810, Butterfly Shirt
0xA814, Spiderweb Shirt
0xA818, Caterpillar Tee
0xA81C, Fiendish Shirt
0xA820, Citrus Shirt
0xA824, Kiwi Shirt
0xA828, Watermelon Shirt
0xA82C, Strawberry Shirt
0xA830, Grape Shirt
0xA834, Melon Shirt
0xA838, Pink Wave Shirt
0xA83C, Flan Shirt
0xA840, Hot Dog Shirt
0xA844, Sandwich Shirt
0xA848, Noodle Shirt
0xA84C, Ugly Shirt
0xA850, Dragon Suit
0xA854, Asian Shirt
0xA858, Hot Spring Shirt
0xA85C, New Spring Shirt
0xA860, Crewel Shirt
0xA864, Tropical Shirt
0xA868, Ribbon Shirt
0xA86C, Bodice
0xA870, Laced Shirt
0xA874, Circus Shirt
0xA878, Green Vest
0xA87C, Yellow Bolero
0xA880, Noble Shirt
0xA884, Turnip Top
0xA888, Yodel Shirt
0xA88C, Classic Top
0xA890, Gaudy Sweater
0xA894, Red Aloha Shirt
0xA898, Blue Aloha Shirt
0xA89C, Western Shirt
0xA8A0, Red Riding Hoody
0xA8A4, Royal Shirt
0xA8A8, Witch Shirt
0xA8AC, Firefighter Tee
0xA8B0, Graduation Gown
0xA8B4, Sky Shirt
0xA8B8, Captain's Shirt
0xA8BC, Burglar's Shirt
0xA8C0, Jester Shirt
0xA8C4, Doctor's Coat
0xA8C8, Bone Shirt
0xA8CC, Zipper Shirt
0xA8D0, Mummy Shirt
0xA8D4, Military Uniform
0xA8D8, Sailor's Uniform
0xA8DC, Reggae Shirt
0xA8E0, Camel Shirt
0xA8E4, Molecule Tee
0xA8E8, Concierge Shirt
0xA8EC, Kimono
0xA8F0, Tuxedo
0xA8F4, Explorer Shirt
0xA8F8, Dutch Shirt
0xA8FC, Toga
0xA900, Cake Shirt
0xA904, Waitress Shirt
0xA908, Princess Shirt
0xA90C, Fairy Tale Shirt
0xA910, Spanish Shirt
0xA914, Latin Uniform
0xA918, Red Down Vest
0xA91C, Blue Puffy Vest
0xA920, One-way Tee
0xA924, Beaded Shirt
0xA928, Nile Shirt
0xA92C, Wrap Shirt
0xA930, Wrestler Shirt
0xA934, Security Shirt
0xA938, Poncho
0xA93C, Fluffy Shirt
0xA940, Cat Top
0xA944, Bear Top
0xA948, Frog Top
0xA94C, Kappa Suit
0xA950, Chinese Shirt
0xA954, Pep Squad Shirt
0xA958, Racing Shirt
0xA95C, Orange Jumpsuit
0xA960, Tin Shirt
0xA964, Scale Armor Suit
0xA968, Armor Suit
0xA96C, Gold Armor Suit
0xA970, Striking Outfit
0xA974, Red Warmup Suit
0xA978, Baseball Shirt
0xA97C, Red Sweatsuit
0xA980, Blue Sweatsuit
0xA984, Leather Jerkin
0xA988, Frock Coat
0xA98C, Jingle Shirt
0xA990, Space Suit
0xA994, Caveman Tunic
0xA998, Casual Outfit
0xA99C, Kung-fu Gi
0xA9A0, Pleather Vest
0xA9A4, Maid Dress
0xA9A8, Trenchcoat
0xA9AC, Detective Outfit
0xA9B0, Cycling Outfit
0xA9B4, Chef's Outfit
0xA9B8, Pirate's Coat
0xA9BC, Persian Coat
0xA9C0, Folk Tunic
0xA9C4, Egyptian Outfit
0xA9C8, Red Zap Suit
0xA9CC, Blue Zap Suit
0xA9D0, Green Zap Suit
0xA9D4, Pink Zap Suit
0xA9D8, Samurai Suit
0xA9DC, Bathrobe
0xA9E0, Moldy Shirt
0xA9E4, Patched Shirt
0xA9E8, Hero's Clothes
0xA9EC, Varia Suit
0xA9F0, New Year's Shirt
0xA9F4, New Year's Shirt
0xA9F8, New Year's Shirt
0xA9FC, New Year's Shirt
0xAA00, New Year's Shirt
0xAA04, New Year's Shirt
0xAA08, New Year's Shirt
0xAA0C, New Year's Shirt
0xAA10, New Year's Shirt
0xAA14, New Year's Shirt
0xAA18, New Year's Shirt
0xAA1C, New Year's Shirt
0xAA20, New Year's Shirt
0xAA24, New Year's Shirt
0xAA28, New Year's Shirt
0xAA2C, New Year's Shirt
0xAA30, New Year's Shirt
0xAA34, New Year's Shirt
0xAA38, New Year's Shirt
0xAA3C, New Year's Shirt
0xAA40, New Year's Shirt
0xAA44, New Year's Shirt
0xAA48, New Year's Shirt
0xAA4C, New Year's Shirt
0xAA50, New Year's Shirt
0xAA54, New Year's Shirt
0xAA58, New Year's Shirt
0xAA5C, New Year's Shirt
0xAA60, New Year's Shirt
0xAA64, New Year's Shirt
0xAA68, New Year's Shirt
0xAA6C, New Year's Shirt
0xAA70, New Year's Shirt
0xAA74, New Year's Shirt
0xAA78, New Year's Shirt
0xAA7C, New Year's Shirt
//Umbrellas
0xAA90, Gelato Umbrella
0xAA94, Bat Umbrella
0xAA98, Lacy Parasol
0xAA9C, Leaf Umbrella
0xAAA0, Paper Parasol
0xAAA4, Ribbon Umbrella
0xAAA8, Red Umbrella
0xAAAC, Blue Umbrella
0xAAB0, Yellow Umbrella
0xAAB4, Green Umbrella
0xAAB8, Candy Umbrella
0xAABC, Melon Umbrella
0xAAC0, Mint Umbrella
0xAAC4, Picnic Umbrella
0xAAC8, Lemon Umbrella
0xAACC, Toad Parasol
0xAAD0, Eggy Parasol
0xAAD4, Blue Dot Parasol
0xAAD8, Daisy Umbrella
0xAADC, Paw Umbrella
0xAAE0, Petal Parasol
0xAAE4, Busted Umbrella
0xAAE8, Sunny Parasol
0xAAEC, Beach Umbrella
0xAAF0, Elegant Umbrella
0xAAF4, Modern Umbrella
0xAAF8, Leopard Umbrella
0xAAFC, Zebra Umbrella
0xAB00, Forest Umbrella
0xAB04, Flame Umbrella
0xAB08, Camo Umbrella
0xAB0C, Spider Umbrella
0xAB10, Gracie Umbrella
0xAB14, Peach's Parasol
//Wallpaper
0x9FA0, Exotic Wall
0x9FA4, Lovely Wall
0x9FA8, Classic Wall
0x9FAC, Ranch Wall
0x9FB0, Cabana Wall
0x9FB4, Blue Wall
0x9FB8, Modern Wall
0x9FBC, Regal Wall
0x9FC0, Green Wall
0x9FC4, Cabin Wall
0x9FC8, Kiddie Wall
0x9FCC, Robo-wall
0x9FD0, Snowman Wall
0x9FD4, Forest Wall
0x9FD8, Egg Wall
0x9FDC, Pavé Wall
0x9FE0, Spooky Wall
0x9FE4, Harvest Wall
0x9FE8, Jingle Wall
0x9FEC, Princess Wall
0x9FF0, Gracie Wallpaper
0x9FF4, Sweets Wall
0x9FF8, Gorgeous Wall
0x9FFC, Western Vista
0xA000, Lunar Horizon
0xA004, Blue Tarp
0xA008, Ringside Seating
0xA00C, Backyard Fence
0xA010, Playroom Wall
0xA014, Sea View
0xA018, Lab Wall
0xA01C, Classroom Wall
0xA020, Bathhouse Wall
0xA024, Pastel-dot Wall
0xA028, Parlor Wall
0xA02C, Mod Wall
0xA030, Kitschy Wall
0xA034, Groovy Wall
0xA038, Backgammon Wall
0xA03C, Mosaic Wall
0xA040, Blue-trim Wall
0xA044, Plaster Wall
0xA048, Chic Wall
0xA04C, Ornate Wall
0xA050, Citrus Wall
0xA054, Rose Wall
0xA058, Old Brick Wall
0xA05C, Shoji Screen
0xA060, Gold Screen Wall
0xA064, Tea-room Wall
0xA068, Modern Screen
0xA06C, Garden Wall
0xA070, Mortar Wall
0xA074, Stone Wall
0xA078, Concrete Wall
0xA07C, Basement Wall
0xA080, Shanty Wall
0xA084, Wood Paneling
0xA088, Floral Wall
0xA08C, Kitchen Wall
0xA090, Music-room Wall
0xA094, Manor Wall
0xA098, Office Wall
0xA09C, Plaza Wall
0xA0A0, Lattice Wall
0xA0A4, Stately Wall
0xA0A8, Imperial Wall
0xA0AC, Arched Window
0xA0B0, Bamboo Wall
0xA0B4, Ivy Wall
0xA0B8, Ancient Wall
0xA0BC, Exquisite Wall
0xA0C0, Persian Wall
0xA0C4, Industrial Wall
0xA0C8, Library Wall
0xA0CC, Illusion Wall
0xA0D0, Meadow Vista
0xA0D4, Tropical Vista
0xA0D8, Desert Vista
0xA0DC, Chainlink Fence
0xA0E0, Tree-lined Wall
0xA0E4, Sky Wall
0xA0E8, Cityscape Wall
0xA0EC, Dirt-clod Wall
0xA0F0, Common Wall
0xA0F4, Old Wallpaper
0xA0F8, Mushroom Mural
0xA0FC, Cranny Wall
0xA100, Convenient Wall
0xA104, Supermarket Wall
0xA108, Department Wall
//Series
0xB710, Exotic Bed
0xB714, Exotic Bureau
0xB718, Exotic Wardrobe
0xB71C, Exotic Bench
0xB720, Exotic Chair
0xB724, Exotic Table
0xB728, Exotic End Table
0xB72C, Exotic Lamp
0xB730, Exotic Screen
0xB734, Exotic Chest
0xB738, Ranch Bed
0xB73C, Ranch Dresser
0xB740, Ranch Wardrobe
0xB744, Ranch Couch
0xB748, Ranch Armchair
0xB74C, Ranch Chair
0xB750, Ranch Table
0xB754, Ranch Tea Table
0xB758, Ranch Bookcase
0xB75C, Ranch Hutch
0xB760, Classic Bed
0xB764, Classic Vanity
0xB768, Classic Wardrobe
0xB76C, Classic Chair
0xB770, Classic Sofa
0xB774, Classic Table
0xB778, Classic Bookcase
0xB77C, Classic Buffet
0xB780, Classic Desk
0xB784, Classic Clock
0xB788, Regal Bed
0xB78C, Regal Dresser
0xB790, Regal Armoire
0xB794, Regal Chair
0xB798, Regal Sofa
0xB79C, Regal Table
0xB7A0, Regal Lamp
0xB7A4, Regal Clock
0xB7A8, Regal Bookcase
0xB7AC, Regal Vanity
0xB7B0, Blue Bed
0xB7B4, Blue Bureau
0xB7B8, Blue Wardrobe
0xB7BC, Blue Chair
0xB7C0, Blue Bench
0xB7C4, Blue Table
0xB7C8, Blue Bookcase
0xB7CC, Blue Cabinet
0xB7D0, Blue Clock
0xB7D4, Blue Dresser
0xB7D8, Cabana Bed
0xB7DC, Cabana Dresser
0xB7E0, Cabana Wardrobe
0xB7E4, Cabana Chair
0xB7E8, Cabana Armchair
0xB7EC, Cabana Table
0xB7F0, Cabana Lamp
0xB7F4, Cabana Bookcase
0xB7F8, Cabana Vanity
0xB7FC, Cabana Screen
0xB800, Green Bed
0xB804, Green Dresser
0xB808, Green Wardrobe
0xB80C, Green Chair
0xB810, Green Bench
0xB814, Green Table
0xB818, Green Desk
0xB81C, Green Lamp
0xB820, Green Counter
0xB824, Green Pantry
0xB828, Cabin Bed
0xB82C, Cabin Dresser
0xB830, Cabin Wardrobe
0xB834, Cabin Chair
0xB838, Cabin Armchair
0xB83C, Cabin Couch
0xB840, Cabin Table
0xB844, Cabin Low Table
0xB848, Cabin Bookcase
0xB84C, Cabin Clock
0xB850, Modern Bed
0xB854, Modern Dresser
0xB858, Modern Wardrobe
0xB85C, Modern Chair
0xB860, Modern Sofa
0xB864, Modern End Table
0xB868, Modern Desk
0xB86C, Modern Table
0xB870, Modern Cabinet
0xB874, Modern Lamp
0xB878, Kiddie Bed
0xB87C, Kiddie Dresser
0xB880, Kiddie Wardrobe
0xB884, Kiddie Couch
0xB888, Kiddie Chair
0xB88C, Kiddie Table
0xB890, Kiddie Bureau
0xB894, Kiddie Bookcase
0xB898, Kiddie Clock
0xB89C, Kiddie Stereo
0xB8A0, Lovely Bed
0xB8A4, Lovely Dresser
0xB8A8, Lovely Armoire
0xB8AC, Lovely Chair
0xB8B0, Lovely Loveseat
0xB8B4, Lovely End Table
0xB8B8, Lovely Table
0xB8BC, Lovely Vanity
0xB8C0, Lovely Kitchen
0xB8C4, Lovely Lamp
0xB8C8, Robo-bed
0xB8CC, Robo-dresser
0xB8D0, Robo-closet
0xB8D4, Robo-sofa
0xB8D8, Robo-chair
0xB8DC, Robo-table
0xB8E0, Robo-stereo
0xB8E4, Robo-TV
0xB8E8, Robo-clock
0xB8EC, Robo-lamp
0xB8F0, Snowman Bed
0xB8F4, Snowman Dresser
0xB8F8, Snowman Wardrobe
0xB8FC, Snowman Chair
0xB900, Snowman Sofa
